index,name,sex
1434,Loyd,M
1435,Mahlon,M
1436,Nat,M
1437,Omar,M
1438,Oran,M
1439,Parker,M
1440,Raleigh,M
1441,Reginald,M
1442,Rubin,M
1443,Seymour,M
1444,Wm,M
1445,Young,M
1446,Benjamine,M
1448,Carlton,M
1449,Eldridge,M
1450,Elzie,M
1451,Garrett,M
1452,Isham,M
1453,Johnson,M
1454,Larry,M
1455,Logan,M
1456,Merrill,M
1457,Mont,M
1458,Oren,M
1459,Pierre,M
1460,Rex,M
1461,Rodney,M
1462,Ted,M
1463,Webster,M
1464,West,M
1465,Wheeler,M
1466,Willam,M
1467,Al,M
1468,Aloysius,M
1469,Alvie,M
1471,Art,M
1473,Bailey,M
1474,Benjaman,M
1475,Beverly,M
1476,Bishop,M
1478,Cloyd,M
1479,Coleman,M
1480,Dana,M
1481,Duncan,M
1482,Dwight,M
1483,Emile,M
1484,Evert,M
1485,Henderson,M
1486,Hunter,M
1488,Lem,M
1489,Luis,M
1490,Mathias,M
1491,Maynard,M
1492,Miguel,M
1493,Mortimer,M
1494,Nels,M
1495,Norris,M
1496,Pat,M
1497,Phil,M
1498,Rush,M
1499,Santiago,M
1500,Sol,M
1501,Sydney,M
1502,Thaddeus,M
1503,Thornton,M
1504,Tim,M
1505,Travis,M
1506,Truman,M
1507,Watson,M
1508,Webb,M
1509,Wellington,M
1510,Winfred,M
1511,Wylie,M
1512,Alec,M
1513,Basil,M
1514,Baxter,M
1515,Bertrand,M
1516,Buford,M
1517,Burr,M
1518,Cleveland,M
1519,Colonel,M
1520,Dempsey,M
1521,Early,M
1522,Ellsworth,M
1523,Fate,M
1524,Finley,M
1525,Gabe,M
1526,Garland,M
1527,Gerald,M
1528,Herschel,M
1529,Hezekiah,M
1530,Justus,M
1531,Lindsey,M
1532,Marcellus,M
1533,Olaf,M
1534,Olin,M
1535,Pablo,M
1536,Rolland,M
1537,Turner,M
1538,Verne,M
1539,Volney,M
1540,Williams,M
1541,Almon,M
1542,Alois,M
1543,Alonza,M
1544,Anson,M
1545,Authur,M
1546,Benton,M
1547,Billie,M
1548,Cornelious,M
1549,Darius,M
1550,Denis,M
1551,Dillard,M
1552,Doctor,M
1553,Elvin,M
1555,Eric,M
1556,Evans,M
1557,Gideon,M
1558,Haywood,M
1559,Hilliard,M
1560,Hosea,M
1561,Lincoln,M
1562,Lonzo,M
1563,Lucious,M
1564,Lum,M
1565,Malachi,M
1566,Newt,M
1567,Noel,M
1568,Orie,M
1569,Palmer,M
1570,Pinkney,M
1572,Sumner,M
1573,Terry,M
1574,Urban,M
1575,Uriah,M
1576,Valentine,M
1577,Waldo,M
1578,Warner,M
1579,Wong,M
1580,Zeb,M
1581,Abel,M
1582,Alden,M
1583,Archer,M
1584,Avery,M
1585,Carson,M
1586,Cullen,M
1587,Doc,M
1588,Eben,M
1589,Elige,M
1591,Elmore,M
1592,Ernst,M
1593,Finis,M
1595,Godfrey,M
1596,Guss,M
1597,Hamp,M
1598,Hermann,M
1599,Isadore,M
1600,Isreal,M
1601,Jones,M
1604,Lafe,M
1605,Leland,M
1606,Llewellyn,M
1607,Ludwig,M
1608,Manford,M
